City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,saint-honore,-34.5667,146.4,73.89,61.0,12.0,11.5,AU,1675893384.0
234,saint-honore,25.7,100.1833,36.97,70.0,0.0,4.36,CN,1675893082.0
235,saint-honore,39.3558,-9.3811,52.11,80.0,81.0,22.41,PT,1675893385.0
236,saint-honore,28.9889,-80.9023,79.12,60.0,20.0,9.22,US,1675893373.0
237,saint-honore,14.7623,-90.9947,67.62,58.0,66.0,4.23,GT,1675893386.0
238,saint-honore,51.7208,103.6956,0.54,91.0,39.0,4.52,RU,1675893386.0
239,saint-honore,-42.7826,147.0587,58.71,64.0,100.0,1.21,AU,1675892866.0
240,saint-honore,-9.0853,-78.5783,75.9,75.0,22.0,9.62,PE,1675893376.0
241,saint-honore,-6.8844,112.2051,76.57,89.0,100.0,8.55,ID,1675893387.0
242,saint-honore,-20.7377,116.8463,84.94,69.0,8.0,4.9,AU,1675893061.0
243,saint-honore,37.4966,61.9714,46.27,66.0,75.0,13.8,TM,1675893389.0
244,saint-honore,,,,,,,,
245,saint-honore,46.4856,135.8833,-12.15,99.0,100.0,4.16,RU,1675893278.0
246,saint-honore,26.185,127.675,65.97,77.0,75.0,10.36,JP,1675893389.0
247,saint-honore,63.3667,47.9167,21.2,94.0,29.0,7.54,RU,1675893390.0
248,saint-honore,48.8285,30.0396,16.27,92.0,6.0,6.08,UA,1675893391.0
249,saint-honore,-0.2167,20.8667,74.08,71.0,37.0,3.42,CD,1675893391.0
250,saint-honore,-28.5122,-50.9339,77.68,51.0,85.0,11.3,BR,1675893398.0
251,saint-honore,6.351,116.4305,74.25,81.0,85.0,4.27,MY,1675893215.0
252,saint-honore,59.3833,143.3,-21.41,84.0,42.0,11.81,RU,1675893398.0
253,saint-honore,-28.55,16.4333,63.34,96.0,28.0,3.49,NA,1675893399.0
254,saint-honore,10.4795,16.7117,78.08,17.0,59.0,6.55,TD,1675893399.0
255,saint-honore,2.6708,72.8944,80.64,70.0,80.0,6.26,MV,1675893400.0
256,saint-honore,66.1451,-65.7125,-13.0,53.0,0.0,9.22,CA,1675892982.0
257,saint-honore,-28.7667,114.6,64.81,88.0,0.0,9.22,AU,1675892643.0
258,saint-honore,52.6333,29.7333,18.7,89.0,97.0,6.46,BY,1675893400.0
259,saint-honore,62.0989,126.6992,-46.73,100.0,95.0,2.33,RU,1675893401.0
260,saint-honore,65.5833,-171.0,-10.82,89.0,100.0,3.06,RU,1675893027.0
261,saint-honore,42.7762,-9.0603,47.84,77.0,0.0,8.75,ES,1675893051.0
262,saint-honore,64.8621,11.2373,44.71,61.0,0.0,13.8,NO,1675893401.0
263,saint-honore,50.2001,-66.3821,19.4,65.0,20.0,17.27,CA,1675893292.0
264,saint-honore,56.4088,103.1106,4.05,99.0,100.0,3.09,RU,1675893402.0
265,saint-honore,-20.2833,44.2833,76.08,92.0,97.0,9.78,MG,1675893170.0
266,saint-honore,38.0794,31.3664,13.08,92.0,55.0,0.76,TR,1675893403.0
267,saint-honore,8.0086,-62.3989,77.2,61.0,100.0,5.37,VE,1675893403.0
268,saint-honore,29.2747,82.1838,35.76,57.0,1.0,3.4,NP,1675893403.0
269,saint-honore,-2.5744,150.7967,81.32,78.0,98.0,7.78,PG,1675892983.0
270,saint-honore,1.7986,-78.8156,81.7,74.0,58.0,10.51,CO,1675893404.0
271,saint-honore,-35.9333,173.8833,68.47,60.0,52.0,11.12,NZ,1675893404.0
272,saint-honore,,,,,,,,
273,saint-honore,18.3851,42.4509,52.32,66.0,92.0,3.18,SA,1675893405.0
274,saint-honore,62.7833,148.1667,-45.26,100.0,94.0,0.25,RU,1675893405.0
275,saint-honore,-12.974,40.5178,76.93,86.0,100.0,6.82,MZ,1675893406.0
276,saint-honore,47.0166,-113.8009,30.85,56.0,85.0,8.99,US,1675893149.0
277,saint-honore,37.2353,39.7631,30.88,76.0,62.0,6.31,TR,1675893406.0
